key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
devices.shifter.forceFirmwareUpdateText,SimPro2需要最新排挡固件才能正常工作,SimPro2需要最新排擋韌體才能正常運作,SimPro2 require newer shifter firmware to work,SimPro2 necesita un nuevo firmware en la palanca de cambios para funcionar,SimPro2 nécessite un micrologiciel de levier de vit. plus récent pour fonctionner,SimPro2 richiede un firmware più recente del cambio per poter funzionare,SimPro2を使用するには、新しいシフターファームウェアが必要です。,심프로2가 작동하기 위해 새로운 쉬프터 펌웨어가 필요합니다
devices.shifter.forceFirmwareUpdatingText,排挡固件正在升级,排檔韌體正在升級,Shifter Firmware is updating,El firmware de la palanca de cambios se esta actualizando,Le micrologiciel du levier de vit. est en cours de mise à jour,Il Firmware del Cambio si sta aggiornando,シフターのファームウェアがアップデート中,쉬프터 펌웨어가 업데이트중입니다
devices.shifter.gear,档位,檔位,Gear,Marcha,Rapport,Marcia,ギア,기어
devices.shifter.hallSensor,霍尔传感器,霍爾傳感器,Hall sensor,El sensor hall,Le capteur hall,sensori,ホールセンサーです,홀 센서
devices.shifter.mode.H,H型手排,H型手排,H-Pattern,Cambio en H,Boîte en H,H,H,H-패턴
devices.shifter.mode.SQ,序列式,序列式,SQ,Secuencial,SQ,SQ,SQ,SQ
devices.shifter.mode.title,当前模式,當前模式,Mode,Modo,Mode,Modalità,モード,모드
devices.shifter.mode.undefined,H型手排,H型手排,H-Pattern,Patrón H,H-Pattern,H,H,H-패턴
devices.shifter.onlyInCANMode,通过基座连接时可用,透過基座連接時可用,Only Available in CAN-Bus Connection,Sólo disponible en conexión CAN-Bus,Uniquement disponible en connexion CAN-Bus,Disponibile solo tramite Connessione CAN-Bus,CAN-Bus接続時のみ使用可能,CAN-Bus 연결 시에만 사용 가능
devices.shifter.reconnectShifter,升级成功，请重新插拔排挡,升級成功，請重新插拔排擋,Update is Successful Please reconnect your shifter,Update is Successful Please reconnect your shifter,La mise à jour est réussie. Veuillez reconnecter votre levier de vitesse,Aggiornamento avvenuto con Successo. Ricollega il tuo cambio.,アップデートに成功しました。シフターを再接続してください。,업데이트가 완료되었으니 쉬프터를 다시 연결해주십시오
devices.shifter.reverseDisplay,反转显示屏,反轉顯示器,Invert Display,Invertir Pantalla,Inverser l'afficheur,Inverti Display,反転表示,디스플레이 역방향으로 전환
devices.shifter.reverseShiftDirection,反转换挡方向,反轉換擋方向,Invert Shift Direction,Invertir dirección de desplazamiento,Inverser la direction du changement de vitesse,Inverti la Direzione del Cambio,シフト方向を反転,쉬프터 역방향으로 전환
devices.shifter.settings,设置,設定,Settings,Ajustes,Réglages,Impostazioni,設定,세팅
devices.shifter.syncWithPaddle,与拨片同步,與撥片同步,Sync with Paddles,Sincronización con palas,Synchronisation avec les palettes,Sincronizza con le Leve,パドルと同期,패들과 싱크
devices.shifter.tooltip.calibration,如果常常出现跳档和错档的情况，需进行校准,如果常常出現跳檔和錯檔的情況，需進行校準,"If money shift occurs many time, please calibrate your shifter","Si falla el engranar la marcha varias veces, por favor calibra tu cambio de marchas","Si les rapports se produisent plusieurs fois, veuillez calibrer votre levier de vitesse","Se avvengono spesso Cambiate Accidentali, ricalibra il tuo cambio",何度もずれる場合は、シフターを調整してください。,만약 여러 번 머니쉬프트가 발생하면 쉬프터 캘리브레이션을 해 주세요.
devices.shifter.tooltip.inCalibrate,正在校准,正在校準,In Calibration Mode,En modo de calibración,En mode calibration,In Modalità Calibrazione,キャリブレーションモード,캘리브레이션중
devices.shifter.update,升级,升級,UPDATE,ACTUALIZAR,Mettre à jour,AGGIORNA,アップデート,업데이트
devices.tab.ZF,ZF,ZF,ZF,ZF,ZF,ZF,ZF,ZF
devices.tab.ZGT,ZGT,ZGT,ZGT,ZGT,ZGT,ZGT,ZGT,ZGT
devices.tab.ZS,ZS,ZS,ZS,ZS,ZS,ZS,ZS,ZS
devices.tab.base,基座,基座,Base,Base,Base,Base,ベース,베이스
devices.tab.ds8x,DS8X,DS8X,DS8X,DS8X,DS8X,DS8X,DS8X,DS8X
devices.tab.fx,FX,FX,FX,FX,FX,FX,FX,FX
devices.tab.fxpro,FX PRO,FX PRO,FX PRO,FX PRO,FX PRO,FX PRO,FX PRO,FX PRO
devices.tab.gt1gt4,GT1/GT4,GT1/GT4,GT1/GT4,GT1/GT4,GT1/GT4,GT1/GT4,GT1/GT4,GT1/GT4
devices.tab.gthub,GT Hub,GT Hub,GT Hub,GT Hub,GT Hub,GT Hub,GT Hub,GT Hub
devices.tab.gtneo,GT NEO,GT NEO,GT NEO,GT NEO,GT NEO,GT NEO,GT NEO,GT NEO
devices.tab.gts,GTS,GTS,GTS,GTS,GTS,GTS,GTS,GTS
devices.tab.handbrake,手刹,手剎,Handbrake,Freno de Mano,Frein à mains,Freno a Mano,ハンドブレーキ,핸드브레이크
devices.tab.mark750,Mark750,Mark750,Mark750,Mark750,Mark750,Mark750,Mark750,Mark750
devices.tab.markhub,Neo X,Neo X,Neo X,Neo X,Neo X,Neo X,Neo X,Neo X
devices.tab.pedals,踏板,踏板,Pedals,Pedales,Pédalier,Pedali,ペダル,페달
devices.tab.q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1
devices.tab.q1s,Q1s,Q1s,Q1s,Q1s,Q1s,Q1s,Q1S,Q1s
devices.tab.raceOS3,RaceOS'3,RaceOS'3,RaceOS'3,RaceOS'3,RaceOS'3,RaceOS'3,RaceOS'3,RaceOS'3
devices.tab.raceOS4,RaceOS'4,RaceOS'4,RaceOS'4,RaceOS'4,RaceOS'4,RaceOS'4,RaceOS'4,RaceOS'4
devices.tab.shifterAndHandbrake,变速器/手刹,變速器/手剎,Shifter/Handbrake,Cambio de Marcha/Freno de Mano,Leviers/Frein à mains,Cambio/FrenoAMano,シフター/ハンドブレーキ,쉬프터/핸드브레이크
devices.tab.tb1,TB-1,TB-1,TB-1,TB-1,TB-1,TB-1,TB 1,TB-1
devices.tab.tbrs,TB-RS,TB-RS,TB-RS,TB-RS,TB-RS,TB-RS,TB-RS,TB-RS
devices.tab.wheels,盘体,槃體,Wheels,Volantes,Volants,Wolanti,ステアリングホイール,휠
devices.title,设备,設備,Devices,Dispositivos,Périph.,Dispositivi,デバイス,장치
devices.wheel.abs,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
devices.wheel.back,背面,背面,Back,Trasero,Back,Back,後ろ,뒤
devices.wheel.buttonAlias,按钮标签,按鈕標籤,Button Alias,Alias del botón,Alias bouton,Alias Tasto,ボタンコード,버튼 명
devices.wheel.buttonCode,按钮编码,按鈕編碼,Button Code,Código del botón,Code bouton,Codice Tasto,ボタンコード,버튼 코드
devices.wheel.buttonConfig,编码设置,編碼設置,Button Config,Configuración de botones,Configuration bouton,Configurazione Tasto,ボタン設定,버튼 설정
devices.wheel.buttonInputs,按钮状态,按鈕狀態,Button Inputs,Entradas de botones,Entrées des boutons,Input Tasti,ボタン入力,버튼 인풋
devices.wheel.buttonMode,按钮模式,按鈕模式,Button Mode,Modo Botón,Mode boutons,Modalità Tasto,ボタンモード,버튼 모드
devices.wheel.buttonSettings,按钮设置,按鈕設置,Button Settings,Conf. de botones,Param. des boutons,Impostazioni Tasto,ボタン設定,버튼 세팅
devices.wheel.buttonStatus,按钮状态,按鈕狀態,Button Status,Estado del botón,Statut des boutons,Stato Tasto,ボタンの位置,버튼 상태
devices.wheel.calibration,校准,校準,Calibrate,Calibrar,Calibrage,Calibra,校正する,캘리브레이트
devices.wheel.clutch,离合,離合,Clutch,Embrague,Embrayage,Frizione,クラッチ,클러치
devices.wheel.clutchCalibration,离合校准,離合校準,Clutch Calibration,Calibración del embrague,Calibrage de l'embrayage,Calibrazione Frizioni,クラッチのキャリブレーション,클러치 캘리브레이션
devices.wheel.clutchCalibrationDesc,请您将方向盘上的双离合拨片拉动到底后松开，然后点击完成,請您將方向盤上的雙離合器撥片拉動到底後鬆開，然後點擊完成,Please pull two clutch paddle completely then click Finish.,Por favor pulsa completamente las dos paletas de embrague y luego pulsa en Finalizar.,Actionner complètement les deux palettes d'embrayage puis cliquez sur Terminer.,Premi entrambe le palette delle frizioni fino in fondo e poi clicca Termina.,2つのクラッチパドルを完全に引いてから、[完了]をクリックしてください。,양쪽 클러치 패들을 끝까지 당긴 채로 종료 버튼을 눌러 주세요.
devices.wheel.clutchPaddleSettings,离合拨片设置,離合撥片設置,Clutch Paddle,Pala de embrague,Palette d'embrayage,Leve Frizione,クラッチ パドル,클러치 패들
devices.wheel.controlType.button,按钮,按鈕,Button,Botón,Bouton,Tasto,ボタン,버튼
devices.wheel.controlType.configText,设置,設置,Config,Configuración,Configurer,Configurazione,設定,설정
devices.wheel.controlType.dashSideLight,仪表侧灯,儀表側燈,Dash Side Light,Luz lateral,Éclairage latéral du dash,Luce Laterale Dash,ダッシュサイドライト,대쉬 사이드 라이트
devices.wheel.controlType.hat7,7向摇杆,7向搖桿,7-Way Hat,Pulsador de 7 Posiciones,Bouton 7-directions,Joystick 7-Vie,7-Way Hat,7-Way 해트 스위치
devices.wheel.controlType.indicator,指示灯,指示灯,indicator,指示灯,指示灯,指示灯,指示灯,指示灯
devices.wheel.controlType.null,盘面按钮,盤面按鈕,,,,, ,
devices.wheel.controlType.rotaryKnob,旋钮,旋鈕,Rotary Knob,Botón Giratorio,Bouton rotatif,Encoder Rotativo,ロータリーノブ,로터리 노브
devices.wheel.controlType.thumbEncoder,拨轮,撥輪,Thumb Encoder,Thumb Encoder,Encodeur de pouce,Encoder a Pollice,サムエンコーダー,썸 인코더
devices.wheel.dashConfig,表盘设置,錶盤設置,Dash Config,Conf. del tablero,Config. de l'afficheur,Configurazione Dash,ダッシュ設定,대쉬 설정
devices.wheel.down,下,下,Down,Abajo,Bas,Giù,下,하
devices.wheel.drs,DRS,DRS,DRS,DRS,DRS,DRS,DRS,DRS
devices.wheel.finish,完成,完成,Finish,Finalizar,Terminer,Termina,成す,종료
devices.wheel.flag,旗语,旗語,FLAG,FLAG,DRAPEAUX,BANDIERA,FLAG,FLAG
devices.wheel.forceFirmwareUpdateText,SimPro2需要最新方向盘固件才能正常工作,SimPro2需要最新方向盤韌體才能正常運作,SimPro2 require newer wheel firmware to work,SimPro2 necesita un firmware más actulizado para funcionar,Le volant nécessite une mise à jour du micrologiciel plus récent pour fonctionner avec SimPro 2,SimPro2 richiede una versione più recente del firmware per funzionare,SimPro2を使用するには、新しいホイールファームウェアが必要です,심프로2가 작동하기 위해 새로운 휠 펌웨어가 필요합니다
devices.wheel.forceFirmwareUpdatingText,方向盘固件正在升级,方向盤韌體正在升級,Wheel Firmware is updating,El firmware del volante se está actualizando,Mise à jour du micrologiciel en cours,L'aggiornamento del firmware del Volante è in corso,ホイールファームウェアが更新中,휠 펌웨어를 업데이트중입니다
devices.wheel.front,正面,正面,Front,Frontal,Avant,Fronte,前,앞
devices.wheel.left,左,左,Left,Izquierda,Gauche,Sinistra,左,좌
devices.wheel.light1Color,1号灯光颜色,1號燈光顏色,Light 1 Color,Luz Color 1,Couleur 1 (LED),Colore Luce 1,ライト 1 色,라이트 1 컬러
devices.wheel.light2Color,2号灯光颜色,2號燈光顏色,Light 2 Color,Luz Color 2,Couleur 2 (LED),Colore Luce 2,ライト 2 色,라이트 2 컬러
devices.wheel.light3Color,3号灯光颜色,3號燈光顏色,Light 3 Color,Luz Color 3,Couleur 3 (LED),Colore Luce 3,ライト 3 色,라이트 3 컬러
devices.wheel.lightColor,灯光颜色,燈光顏色,Light Color,Color de la luz,Couleurs,Colore Luce,明色,라이트 컬러
devices.wheel.lightSettings,灯光设置,燈光設置,Light Settings,Ajustes de luz,Réglage du rétroéclairage,Impostazioni Luce,ライト設定,라이트 세팅
devices.wheel.noInput,暂无输入,暫無輸入,No Input,Sin entrada,Aucune entrée,No Input,入力なし,입력 없음
devices.wheel.off,关闭,關閉,OFF,OFF,AUCUN,OFF,OFF,OFF
devices.wheel.pit,维修区限速,維修區限速,PIT,PIT,PIT,PIT,PIT,PIT
devices.wheel.pressed,按下,按下,Pressed,Presionado,Appuyer,Premuto,押された,눌림
devices.wheel.ratio,分离点,分離點,Ratio,Proporción,Ratio,Ratio,比率,비율
devices.wheel.right,右,右,Right,Derecha,Droite,Destra,右,우
devices.wheel.rotateDown,下旋,下旋,Rotate Down,Girar abajo,Rotation vers le bas,Rotazione Giù,下に回転,밑으로 회전
devices.wheel.rotateLeft,左旋,左旋,Rotate Left,Girar a la izquierda,Rotation à gauche,Rotazione Sinistra,左に回転,좌측으로 회전
devices.wheel.rotateRight,右旋,右旋,Rotate Right,Girar a la derecha,Rotation à droite,Rotazione Destra,右に回転,우측으로 회전
devices.wheel.rotateUp,上旋,上旋,Rotate Up,Girar arriba,Rotation vers le haut,Rotazione Su,上に回転,위로 회전
devices.wheel.settingsDialog.channelSync.label,无线频道,無線頻道,Wheel Wireless Channel,Canal inalámbrico con volange,Canal volant sans fil,Canale Wireless Volante,ホイールワイヤレスチャンネル,휠 무선 채널
devices.wheel.settingsDialog.channelSync.syncChannelWithWheelBase,设置为当前基座频道,設定為目前基座頻道,Sync Channel With WheelBase,Canal de sincronización con la base,Synchroniser le canal avec la base,Sincronizza Canale con la Base,ホイールベースと同期,휠베이스와의 같은 채널로 맞추십시오
devices.wheel.settingsDialog.title,方向盘高级设置,方向盤進階設定,Wheel Advance Settings,Configuración avanzada del volante,Réglages avancés du volant,Impostazioni Avanzate Volante,ホイールアドバンス設定,휠 고급 설정
